,Cloudiness,Humidity,Lat,Lng,Temp,Wind Speed
183,90,88,16.86,-99.88,78.8,4.7
184,76,99,15.34,74.49,70.73,5.73
185,0,69,-16.8,47.65,66.68,14.34
186,88,99,69.49,88.39,39.95,6.96
187,40,86,-43.03,147.26,55.4,5.82
188,64,96,4.27,-54.38,74.69,2.37
189,1,3,37.68,-113.06,75.02,8.05
190,88,85,71.97,114.09,35.99,20.15
191,0,46,27.15,57.07,89.6,4.7
192,40,87,56.15,101.63,53.6,6.71
193,36,89,59.08,42.29,50.39,3.71
194,0,48,-45.87,-67.48,44.6,16.11
195,0,100,27.87,81.5,82.34,4.94
196,20,63,41.91,-1.72,64.62,3.36
197,90,83,17.01,54.1,77.0,2.24
198,0,88,39.23,106.34,62.45,2.26
199,40,88,6.93,79.85,80.6,12.75
200,75,68,-32.55,115.7,66.2,13.87
201,20,78,18.44,-78.17,80.6,3.36
202,0,100,-41.05,145.91,51.65,6.4
203,90,86,36.62,-121.92,58.03,4.7
204,56,100,14.9,-24.5,79.01,6.4
205,32,100,30.78,78.62,61.37,0.69
206,92,97,60.98,32.97,58.31,2.48
207,68,97,22.62,71.45,75.77,9.75
208,75,88,26.76,81.16,82.4,3.36
209,24,100,4.14,96.13,81.98,1.48
210,1,100,41.28,-70.1,67.84,8.05
211,92,100,51.15,82.2,39.14,14.79
212,75,69,65.28,-126.83,37.4,9.17
213,44,58,26.9,-101.42,79.64,1.81
214,12,70,20.2,1.01,74.06,3.38
215,8,67,49.6,117.43,66.41,15.57
216,75,83,35.73,140.83,77.86,2.24
217,40,74,22.89,-109.91,80.6,2.24
218,20,44,52.16,-103.52,53.81,6.62
219,0,68,-7.57,24.18,66.14,2.15
220,92,100,-41.67,174.07,46.7,6.73
221,0,48,29.14,21.3,71.27,5.84
222,0,86,39.29,44.45,42.11,2.37
223,24,83,-3.36,135.5,78.65,2.71
224,0,93,52.62,20.38,60.8,8.05
225,92,86,65.61,-37.64,41.0,11.41
226,0,93,60.8,21.41,46.4,1.92
227,32,90,6.12,81.12,82.52,13.44
228,8,100,3.78,72.97,82.7,4.94
229,92,78,67.55,63.78,45.08,15.68
230,90,88,-7.84,-79.15,62.6,6.93
231,1,97,29.7,-91.21,76.03,9.17
232,40,74,30.42,103.46,82.4,6.71
233,8,69,-13.64,-72.88,28.16,1.81
234,92,89,68.75,161.3,49.58,3.04
235,20,48,-32.25,148.6,60.8,17.22
236,80,91,26.47,90.4,80.27,3.6
237,0,85,-1.82,-44.87,77.84,7.96
238,0,86,7.14,40.71,58.49,9.19
239,75,83,23.45,-110.23,80.08,5.82
240,0,16,-23.98,23.93,53.99,14.34
241,76,94,69.38,178.42,40.76,8.41
242,75,100,5.66,-0.01,75.2,6.93
243,80,87,-45.41,167.72,43.19,3.15
244,20,66,26.35,127.87,87.71,13.87
245,0,52,50.56,-96.99,61.37,8.86
246,0,34,26.33,43.97,80.6,2.24
247,76,82,-0.91,122.88,80.36,5.95
248,8,83,36.62,101.77,56.51,1.7
249,0,76,54.13,-108.44,48.95,3.49
250,64,80,-37.83,140.78,53.27,3.71
251,68,96,24.0,89.25,80.99,7.63
252,1,87,43.21,-79.65,74.12,5.82
253,48,54,8.92,-67.43,84.59,8.41
254,0,28,38.35,22.92,82.4,9.17
255,76,90,-30.97,22.13,38.15,6.96
256,1,66,61.22,-149.89,60.58,4.7
257,80,97,6.26,21.2,68.48,3.15
258,75,73,-21.21,-159.78,75.2,16.11
259,5,86,55.1,-105.3,39.2,2.24
260,75,68,37.28,49.58,71.6,4.05
261,0,86,27.97,-114.04,69.47,6.96
